Product Name,Price,Rating,Number of Reviews,Amount of products sold out,Product Link,Actual listed price
Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black,$149,4.3 out of 5 stars,797,4K+ bought in past month,https://www.amazon.com/Samsung-SM-155M-DSN-Unlocked-International/dp/B0CSB14R7J/ref=sr_1_1?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-1,
"Samsung Galaxy S24 Ultra Cell Phone, 512GB AI Smartphone, Unlocked Android, 200MP, 100x Zoom Cameras, Fast Processor, Long Battery Life, Edge-to-Edge Display, S Pen, US Version, 2024, Titanium Black","$1,169",4.5 out of 5 stars,3.8K,2K+ bought in past month,https://www.amazon.com/SAMSUNG-Smartphone-Unlocked-Android-Titanium/dp/B0CMDMKQB7/ref=sr_1_2?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-2,"$1,419.99"
"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black",$174,4.1 out of 5 stars,1K,1K+ bought in past month,https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Expandable-Security/dp/B0CN1QSH8Q/ref=sr_1_3?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-3,$199.99
Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,$149,4.1 out of 5 stars,1.2K,5K+ bought in past month,https://www.amazon.com/Moto-Unlocked-128GB-Camera-Green/dp/B0CWHXVLXG/ref=sr_1_4?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-4,$199.99
"Google Pixel 8a - Unlocked Android Phone with Google AI, Advanced Pixel Camera and 24-Hour Battery - Obsidian - 128 GB",$490,4.2 out of 5 stars,771,3K+ bought in past month,https://www.amazon.com/Google-Pixel-8a-Unlocked-Advanced/dp/B0CYQ916ZY/ref=sr_1_5?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-5,
"Motorola Moto G Stylus 5G | 2023 | Unlocked | Made for US 6/256GB | 50 MPCamera | Cosmic Black, 162.83x73.77x9.29",$209,4.2 out of 5 stars,710,2K+ bought in past month,https://www.amazon.com/Motorola-Stylus-Unlocked-MPCamera-Cosmic/dp/B0C2S6TKTL/ref=sr_1_6?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-6,$399.99
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, 24-Hour Battery, Advanced Camera, and 6.3"" Actua Display - Obsidian - 128 GB",$649,4.5 out of 5 stars,187,1K+ bought in past month,https://www.amazon.com/Google-Pixel-Unlocked-Smartphone-Advanced/dp/B0D7HWJDQM/ref=sr_1_7?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-7,$799.00
Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,$49,4.2 out of 5 stars,165,3K+ bought in past month,https://www.amazon.com/Tracfone-Motorola-5000mAh-Battery-Sapphire/dp/B0CTW8TXGH/ref=sr_1_8?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-8,
"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",$149,4.2 out of 5 stars,1.3K,5K+ bought in past month,https://www.amazon.com/Samsung-SM-155M-DSN-Unlocked-International/dp/B0CSB22F9C/ref=sr_1_9?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-9,$161.95
Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Green,$93,4.2 out of 5 stars,301,400+ bought in past month,https://www.amazon.com/Samsung-Dual-SIM-Unlocked-Android-Smartphone/dp/B0D64375G1/ref=sr_1_10?crid=W9N9DPB9SEQA&dib=eyJ2IjoiMSJ9.jq_9gFUh-GtR1Z3FPE774oZXwQhXyMAZUnieuXhn5umJgrx_J-qYMPmkKlyX2pnm7hPqYH1KuyEzDQhZwdoKojrCm8_D3FOUvd90ksIYgH5eoeoawl2DjMY6ts6Cn6YPn7AH_lu6-EEIkioDBOoAnbRR8HkTwAUygh3Nku3njn2D9VE6jOmagASdUtD9DQoWPg0addQeNylPbgr3f524B3kpIe4AY87kX_4hA3Owe8c.eGS_MKAubiZNMwhAr-r7NjDSzcWk8D_5gH0oiIzjO-g&dib_tag=se&keywords=smartphones&qid=1735657912&sprefix=smartphones%2Caps%2C212&sr=8-10,
