id,title,price,original_price,sold,store_name,store_link,product_link
1,HXAO Women's Fur Coat Women 2024 Plush Burgundy Bomber Jacket Solid Crop Long Sleeve Jacket Warm Winter Coats Woman Casual Coats,MYR90.85,MYR22.6,"1,000+ sold",HXAO Clothing Store,//www.aliexpress.com/store/1103663240,//www.aliexpress.com/store/1103663240
2,TRAF 2024 Women Fashion Cropped Faux Fur Jacket Coat Long Sleeve Front Snap-button Female Outerwear Chic Lapel Collar Thick Coat,MYR109.66,MYR74.49,"5,000+ sold",TRAF-ZA Store,//www.aliexpress.com/store/1103069075,//www.aliexpress.com/store/1103069075
3,Women Retro Creative Hoodies Phoebe Bridgers Clothes Day After Tomorrow Music Album Sweatshirt Classic Scott ST Funny Pullovers,MYR18.86,MYR37.4,9 sold,B Dropshipping Store,//www.aliexpress.com/store/1101494097,//www.aliexpress.com/store/1101494097
4,Spring Basic Women's T-shirts Half Turtleneck Slim Casual Pullover Ladies Tops Solid Modal Elastic Tees Long Sleeve For Women,MYR64.6,MYR46.24,12 sold,KarSaNy Store,//www.aliexpress.com/store/1101319267,//www.aliexpress.com/store/1101319267
5,TRAF Women's Formal Pants Office Wear Women Striped Grey Black Pants Woman High Waist Baggy Suit Pants Casual Wide Leg Trousers,MYR28.95,MYR165.61,"1,000+ sold",TRAF Vestidos Store,//www.aliexpress.com/store/1103377191,//www.aliexpress.com/store/1103377191
6,Winter Sweet Plush Warm Hooded Sweet Coat New Japanese Fashion Princess White Cute Zipper Jacket Designer Slim Harajuku Clothing,MYR191.72,MYR54.76,26 sold,XU ethereal Store,//www.aliexpress.com/store/1101844598,//www.aliexpress.com/store/1101844598
7,Gray Bow Round Neck Pullover Inner Wear Sweater Women Autumn and Winter 2024 New Small Soft Glutinous Base Knit,MYR29.8,MYR67.17,60 sold,Dreami Unite Shop Store,//www.aliexpress.com/store/1101778301,//www.aliexpress.com/store/1101778301
8,Black Short Biker Jacket Women 24 Autumn New American Retro Premium Sense Niche Jacket,MYR623.6,MYR48.29,8 sold,Zimmmmer Store,//www.aliexpress.com/store/1104402394,//www.aliexpress.com/store/1104402394
9,TGCF Fox and Ferret Hoodies Tian Guan Ci Fu Kawaii Print Hoodie Harajuku Aesthetic Man Women Cartoon Graphic Winter Sweatshirts,MYR25.7,MYR0,5 sold,B Dropshipping Store,//www.aliexpress.com/store/1101494097,//www.aliexpress.com/store/1101494097
10,Autumn Winter Long Sleeve Tops Women O/V Neck Bottoming Shirt Black White Basic Casual T-Shirts Slim Fit Thermal Underwear,MYR22.6,MYR0,244 sold,LOOZYKIT Brand Store,//www.aliexpress.com/store/1102015820,//www.aliexpress.com/store/1102015820
11,Personalized Winnie the Pooh 3D Hoodie Women Hoodie Yoga Pants Set Disney Yoga Leggings Sweatpants Hoodie Leggings Sweat Set,MYR57.1,MYR0,22 sold,Shop1104270580 Store,//www.aliexpress.com/store/1104266492,//www.aliexpress.com/store/1104266492
12,2024 Zayn Album Room Under The Stairs Hoodie Harajuku Pullover Tops Sweatshirt Fans Gift,MYR74.49,MYR0,17 sold,XMTC Dropshipping Store,//www.aliexpress.com/store/1101629599,//www.aliexpress.com/store/1101629599
