Entity Type,USDOT Number,USDOT Status,MCS-150 Mileage Year,MCS-150 Form Date,Legal Name,DBA Name,Physical Address,Phone,Mailing Address,URL,Error
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Error scraping link number 1: Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""N/A"", waiting until ""load""
"
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Error scraping link number 2: Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""N/A"", waiting until ""load""
"
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Error scraping link number 3: Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""N/A"", waiting until ""load""
"
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Error scraping link number 4: Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""N/A"", waiting until ""load""
"
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Error scraping link number 5: Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""N/A"", waiting until ""load""
"
CARRIER  ,4114413 ,ACTIVE  , ,10/01/2023 ,GRISEIDA MABEL BENAVIDES ,1998 TRANSPORT ,"4334 HWY 90 A
ALTAIR, TX   77412  ",(832) 724-6338  ,"5527 SWEETBRIAR ST
HOUSTON, TX   77017-6423  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=4114413&original_query_string=1998 TRANSPORT,N/A
CARRIER  ,977543 ,ACTIVE  , ,09/12/2001 ,3 M TRANSPORT , ,"3318 KY ROUTE 3379
GRETHEL, KY   41631  ",(606) 587-2886  ,"PO BOX 62
HAROLD, KY   41631  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=977543&original_query_string=3 M TRANSPORT,N/A
CARRIER  ,929672 ,ACTIVE  ,"60,000 (2000) ", ,RONALD GRAHAM ,3-G TRANSPORT ,"568 E MCIVER RD
FLORENCE, SC   29506-6925  ",(843) 678-4474  ,"568 E MCIVER RD
FLORENCE, SC   29506-6925  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=929672&original_query_string=3-G TRANSPORT,N/A
CARRIER  ,2936853 ,ACTIVE  ,1 (2020) ,01/13/2023 ,A & I TRANSPORT CORP , ,"9890 NW 80TH PL
HIALEAH, FL   33016  ",(786) 556-1478  ,"5355 W 8TH AVE
HIALEAH, FL   33012  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=2936853&original_query_string=A & I TRANSPORT CORP,N/A
CARRIER  ,1045774 ,ACTIVE  , ,08/01/2002 ,A A EAGLE PUMPING & DRAIN CLEANING INC , ,"13121 ELEFF LANE
HUDSON, FL   34669  ",(727) 869-8732  ,"POST OFFICE BOX 5486
HUDSON, FL   34674  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=1045774&original_query_string=A A EAGLE PUMPING & DRAIN CLEANING INC,N/A
CARRIER  ,942697 ,ACTIVE  ,"54,000 () ",03/20/2001 ,A TRANSPORT , ,"408 PINE GROVE STREET
DELAND, FL   32720-2625  ",(904) 738-1552  ,"408 PINE GROVE STREET
DELAND, FL   32720-2625  ",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&original_query_param=NAME&query_string=942697&original_query_string=A TRANSPORT,N/A
